Employee ID,Department,Role,Salary,Experience (Years),Location,Date of Joining
100000,IT & Informatics,System Administrator,87408,10,Karenmouth,22-09-2003
100001,Facilities Management,Janitorial Staff,74048,19,New Jeff,15-10-2019
100002,IT & Informatics,Healthcare Data Analyst,79776,11,Rossbury,31-07-2013
100003,Billing & Insurance,Medical Coder,94041,29,Crawfordview,23-08-2011
100004,Facilities Management,Security Officer,33941,27,West Christina,30-04-2020
100005,IT & Informatics,System Administrator,64726,4,Davidtown,28-05-2024
100006,Human Resources,Recruitment Specialist,33224,23,Tamarafurt,06-06-1999
100007,Human Resources,Recruitment Specialist,80455,31,East Nicholasview,29-10-2017
100008,Human Resources,Recruitment Specialist,56980,5,Wrightmouth,04-03-2023
100009,Medical Records & Health Information Management,Data Entry Specialist,36245,16,Samanthamouth,17-05-2002
100010,Billing & Insurance,Insurance Coordinator,39653,24,Sanchezhaven,12-08-2015
100011,Medical Records & Health Information Management,Data Entry Specialist,75954,1,Guerreroburgh,11-11-1998
100012,Medical Records & Health Information Management,Health Information Technician,65876,14,Christieville,05-07-2009
100013,IT & Informatics,Healthcare Data Analyst,66177,8,South Jared,25-01-2014
100014,Medical Records & Health Information Management,Medical Records Clerk,95982,26,New Jennifer,04-04-2011
100015,Billing & Insurance,Medical Coder,78224,21,Jeremyhaven,26-07-2022
100016,Human Resources,Recruitment Specialist,62968,19,New Paul,28-05-2006
100017,Medical Records & Health Information Management,Data Entry Specialist,45020,12,North Vanessaport,15-01-2021
100018,IT & Informatics,IT Support Specialist,45098,23,South Michael,13-03-2017
100019,Medical Records & Health Information Management,Health Information Technician,38847,31,East Davidfurt,13-12-2009
100020,Human Resources,Recruitment Specialist,94259,11,New Sarah,21-06-2016
100021,Human Resources,Recruitment Specialist,59759,28,Lindsaystad,25-07-2020
100022,Billing & Insurance,Billing Specialist,80157,28,Fosterport,24-09-2000
100023,Facilities Management,Security Officer,31153,24,Brittneyview,05-09-2001
100024,IT & Informatics,Healthcare Data Analyst,77697,25,Holmesstad,16-09-1998
100025,Human Resources,HR Manager,97671,6,Edwardhaven,02-10-2020
100026,Billing & Insurance,Insurance Coordinator,83042,34,Penningtonton,12-06-2001
100027,IT & Informatics,System Administrator,99007,10,Michelefurt,22-07-2010
100028,Human Resources,HR Manager,46242,29,East Michaelport,06-05-2006
100029,IT & Informatics,IT Support Specialist,89942,24,New Kimberlybury,21-07-1995
100030,Facilities Management,Security Officer,49365,8,Gregoryton,31-07-2015
100031,IT & Informatics,System Administrator,79670,12,Wardton,15-11-1996
100032,Medical Records & Health Information Management,Health Information Technician,43992,1,East Chelsea,13-01-1997
100033,IT & Informatics,IT Support Specialist,90890,32,New Brittneyhaven,17-10-1997
100034,Medical Records & Health Information Management,Data Entry Specialist,97158,2,East Kathryn,28-03-1998
100035,Facilities Management,Security Officer,47539,11,Sandersside,13-03-2008
100036,Medical Records & Health Information Management,Health Information Technician,57922,30,Dianefort,08-07-2013
100037,Facilities Management,Maintenance Supervisor,74319,27,Port Jameston,18-03-2022
100038,Medical Records & Health Information Management,Data Entry Specialist,78847,29,Deanside,18-08-2002
100039,Billing & Insurance,Billing Specialist,82904,35,Sanderschester,17-07-2004
100040,IT & Informatics,System Administrator,40976,24,Sergioville,10-01-2023
100041,Human Resources,Recruitment Specialist,94132,7,Lake Kathleenland,03-06-2018
100042,Medical Records & Health Information Management,Medical Records Clerk,72222,4,South Rachelside,11-03-2006
100043,Billing & Insurance,Insurance Coordinator,88394,20,Brownstad,11-05-2008
100044,Billing & Insurance,Billing Specialist,99996,6,Lake Jerrybury,27-08-1998
